1,-2.386464885077253850e+00,5.430237934822976786e-01,7.403025719536502347e-01,-3.578849812842602087e-03,-9.851975493037791812e-03,-3.907576686046882776e-03
2,-8.482756231710533168e-01,1.941797629924435942e+00,-3.283774906882633848e-01,-1.173215653406217002e-02,-5.307094407912713203e-03,1.859791203659021033e-03
3,3.770401451802727899e-01,-3.042444755642462972e+00,-5.878561993033907251e-01,8.416839085495130685e-03,2.821981941616560213e-03,2.011506663434348130e-04
4,-1.360717616768760019e+00,-1.623203240691970084e+00,-4.692898929626420079e-01,9.630182790454000150e-03,-6.422455830147733198e-03,-3.815339371372062065e-03
5,-2.157121685750352125e+00,-6.310878909111873325e-01,-8.781557798064593134e-02,1.670094302134260975e-03,-1.139504456660657070e-02,-4.076078083229060268e-03
6,1.912407551568235109e-01,2.094813282370334040e+00,4.184105503796579084e-01,-1.178894711364857940e-02,2.711856562987573129e-03,2.637802031515291100e-03
7,-1.177989288792059996e+00,1.710428000829256057e+00,5.868252722036463309e-01,-1.139873449421910032e-02,-3.634466499558963032e-03,-2.677851278695605845e-03
8,-8.073236332382971447e-01,-2.200948827218681014e+00,-7.762797897928722657e-01,9.969509898184429272e-03,-1.848340128440455069e-03,-1.750163387353373011e-03
9,-3.036855555377234728e-01,-2.412601991598230189e+00,-1.117579614614351069e+00,9.796452005557971382e-03,-4.278131432879624736e-04,-1.191469641945736924e-03
10,-2.381199664826188833e+00,-1.274575869784194904e+00,-7.465644173787076010e-01,6.115104047020114043e-03,-8.319739958846437619e-03,-3.327284292603619950e-03
11,-1.933526594578002022e+00,-1.498599131343846924e+00,-4.322745383404479891e-01,7.606838640172054571e-03,-7.090961167937741630e-03,-3.219016409238854067e-03
12,2.747217414618389753e-01,-1.752631613603937932e+00,-5.569625652273256788e-01,1.338308819837779988e-02,2.506522116136744062e-03,2.556281819887794033e-03
13,1.186444043865994891e+00,1.874589620867546991e+00,1.052081186390773970e+00,-9.916420475468127119e-03,2.764198718317427070e-03,4.414575310985168616e-03
14,-3.513806395211819811e-01,2.214067603202539924e+00,1.046241156260091065e+00,-1.051112243061372992e-02,-3.742977857008175993e-03,1.753246864948837026e-04
15,-2.594536108428080912e+00,1.223376686377463995e+00,9.817666497222082844e-02,-5.170120014795725680e-03,-6.751638653934381382e-03,-4.732722123650124832e-03
16,2.495545510744018092e+00,-4.989673523290293899e-01,-2.601489912065483856e-01,1.736270583940187915e-03,1.052544268299251962e-02,3.937424690567125317e-03
17,-2.108228845987195843e+00,-8.468910651046647198e-01,-1.335464648066536086e-01,5.556397914169761837e-03,-9.703704769060730526e-03,-4.035698063673340795e-03
18,-8.286780570138452262e-01,1.967119104422645925e+00,5.855776525811839939e-01,-1.155873542146960975e-02,-2.127251346216533015e-03,4.809951172456747152e-04
19,-2.459968968919365118e+00,-1.292878536894173980e+00,-5.627365888054399745e-01,4.578605286456258368e-03,-7.628138640296962605e-03,-3.026834580769798954e-03
20,-2.274160260164348912e+00,1.382579839378428044e-01,4.476800128464090978e-02,-2.280555760232789997e-03,-1.061090948084985990e-02,-4.476088033695587581e-03
21,2.674106613133336949e-03,-2.012109877543175163e+00,-8.928930999614790309e-01,1.203188752673653959e-02,1.741567811364355981e-03,7.660115713102038791e-05
22,9.459569974133947845e-01,-2.471289062178374962e+00,-1.614218919974083954e+00,8.504169064703786390e-03,4.112556674792444862e-03,1.204032594150668939e-04
23,6.662789224297347435e-01,-2.688944044685380952e+00,-1.518138143507705040e+00,8.496573409153647047e-03,1.391099126082986090e-03,-8.538553702489286735e-04
24,2.869399197036790028e+00,-1.886670460871261001e+00,-8.665645801556658423e-01,4.992495973215630919e-03,6.294017251049010414e-03,2.766765349213837124e-03
25,8.477745073736904224e-01,2.485028761738123038e+00,4.138786024811687003e-01,-8.189841666752619917e-03,5.495755342724790125e-03,-1.232176232573831912e-03
26,-2.517418473385792943e+00,3.923382270661199822e-01,3.157825328967440726e-01,-1.227501909572226982e-03,-9.807805452424045445e-03,-4.704594352147838110e-03
27,7.698090400459653981e-01,-2.398119179253801025e+00,-1.056198284064838955e+00,8.971348638523043983e-03,3.023643413204496998e-03,1.033479906410110071e-03
28,2.761783212396419884e+00,-1.340475063571664016e+00,-6.517122569035621593e-01,3.614936464996608076e-03,8.054681525733405761e-03,1.914747469770541975e-03
29,2.161606737327811945e-01,2.063685612280456994e+00,1.171269410560900948e+00,-1.140376266849165050e-02,1.261104743433560894e-03,6.317245558114508580e-04
30,1.113063248859976095e+00,-1.902280134575301096e+00,-8.402821569912065636e-01,9.112801977118669197e-03,5.817443590517641996e-03,2.968896537151521995e-03
31,2.984433749064938191e+00,6.163219120097997855e-02,-9.605956003838438395e-01,-1.959768018596843057e-04,6.656207702482360399e-03,7.057084298443030632e-03
32,2.775651176842746981e+00,1.162200425053079994e-01,2.259627877593496925e-01,-4.241341659115925177e-04,9.311157065814545247e-03,3.219707129802186832e-03
33,1.592352389665991019e+00,-9.976169093091513673e-01,-4.798046768903946879e-01,6.923850950328425818e-03,1.120999820660662991e-02,5.257905979283080192e-03
34,-1.846692650452250950e+00,1.475928630250640916e+00,4.634762976554803737e-01,-7.274809030218415580e-03,-8.648654866815739389e-03,-2.861965272270121981e-03
35,-1.884224494033835962e+00,1.626626229214428898e+00,9.585702056900419210e-01,-6.143910411144891393e-03,-7.851803167837075048e-03,-4.885394700578232080e-03
36,-1.478054417977787915e+00,-2.357054753316709217e+00,-2.125768828352609940e+00,7.515702815868010277e-03,-1.752131673113087058e-03,-1.484809803623914071e-03
