desgs,epoch,M,omega,Omega,inc,ecc,a,H,q,Q,min_dist_bound_AU,V_bright_bound
22,2023-02-25,112.69168,357.77357,65.9792,13.70006,0.0986291,2.9111906,6.82,2.62406249119354,3.1983187088064597,1.6073081911935398,9.945366656900672
23,2023-02-25,299.1347,61.44073,66.49475,10.10758,0.2311042,2.6291989,7.17,2.02157999157462,3.2368178084253802,1.00482569157462,8.70890830598757
24,2023-02-25,241.89995,107.4718,36.43639,0.74502,0.117787,3.1525229,7.27,2.7811966851777004,3.5238491148223003,1.7644423851777002,10.724195924410614
25,2023-02-25,184.13108,90.25368,214.09518,21.60898,0.2546364,2.399787,7.89,1.7887138775531999,3.0108601224467995,0.7719595775531998,8.590677181086134
26,2023-02-25,64.40401,193.72185,45.76211,3.56281,0.0890701,2.6543323,7.58,2.4179106566057698,2.8907539433942304,1.4011563566057696,10.229634253753968
27,2023-02-25,359.14065,356.36296,94.7685,1.58333,0.1712783,2.3469915,7.09,1.94500278576555,2.74898021423445,0.92824848576555,8.372922385653052
28,2023-02-25,212.26892,343.72282,144.28949,9.42906,0.1510258,2.7759222,7.27,2.35668632900724,3.1951580709927603,1.3399320290072398,9.766922754437164
29,2023-02-25,262.57692,63.01533,356.32872,6.08279,0.0736824,2.5537536,5.97,2.36558690574336,2.74192029425664,1.3488326057433597,8.48948481655571
30,2023-02-25,48.93402,86.90921,307.42451,2.09395,0.1271608,2.3651222,7.6,2.06437136895024,2.66587303104976,1.04761706895024,9.27495196486359
31,2023-02-25,332.70603,61.71353,30.7979,26.3204,0.2162807,3.1607437,6.89,2.47713584004341,3.8443515599565896,1.46038154004341,9.68208078746553
32,2023-02-25,4.52409,338.476,220.36344,5.52177,0.0816933,2.587912,7.73,2.3764969286104,2.7993270713896004,1.3597426286104,10.276969852297222
33,2023-02-25,264.93829,338.55453,8.44436,1.85243,0.331739,2.8739198,8.54,1.9205285194678,3.8273110805322,0.9037742194677998,9.737403547393889
34,2023-02-25,80.66508,330.04966,184.33198,5.4974,0.106587,2.6868881,8.67,2.4005007580853,2.9732754419147,1.3837464580852998,11.276791848502475
35,2023-02-25,121.26495,213.75969,353.72278,7.93026,0.224266,2.9963506,8.77,2.3243710363404,3.6683301636596,1.3076167363404,11.183929628241165
36,2023-02-25,242.79728,47.81029,358.19886,18.37378,0.3060444,2.7455462,8.6,1.90528716054872,3.5858052394512803,0.8885328605487199,9.74316967371237
37,2023-02-25,303.43594,62.3274,7.26659,3.07072,0.1757188,2.6432133,7.42,2.17875103077996,3.1076755692200404,1.16199673077996,9.437062558877365
38,2023-02-25,309.04324,169.38455,295.53175,6.94974,0.1513073,2.7428328,8.52,2.32782217468056,3.15784342531944,1.31106787468056,10.942874884305432
39,2023-02-25,240.34797,209.70137,156.93556,10.3704,0.1119502,2.7693339,6.26,2.45930641602822,3.0793613839717797,1.44255211602822,9.009720774813387
